,input_queries
0,join model_list.maker-car_makers.id
1,scan t1 scan t2
2,scan t1 scan t2
3,scan t1 scan t2
4,scan singer
5,join singer_in_concert.singer_id-singer.singer_id
6,scan documents
7,scan documents group by template_id having count ( * )   >  1
8,scan documents group by template_id having count ( * )   >  1
9,join students.permanent_address_id-addresses.address_id scan addresses.country
10,scan students
11,join students.current_address_id-addresses.address_id scan students.cell_mobile_number
12,scan students
13,scan stadium
14,join stadium.stadium_id-concert.stadium_id scan stadium.name
15,scan dogs
16,scan dogs
17,scan teacher
18,scan course_arrange
19,join course_arrange.teacher_id-teacher.name
20,scan teacher
21,scan battle
22,scan battle
23,scan battle
24,scan battle
25,scan tv_channel
26,scan tv_channel
27,scan cartoon
28,scan cars_data order by horsepower desc limit 1
29,scan cars_data
30,scan cars_data
31,scan shop order by number_products desc limit 1
32,scan shop order by number_products desc limit 1
33,scan shop order by number_products desc limit 1
34,scan shop order by number_products desc limit 1
35,scan shop order by number_products desc limit 1
36,scan city
37,scan city
38,scan city
39,scan country
40,scan country
41,scan country
42,scan country
43,scan country
44,scan country
45,scan shop
46,scan shop
47,join hiring.shop_id-shop.name
48,scan singer
49,scan singer
50,join singer_in_concert.singer_id-singer.singer_id join singer.name-singer.singer_id
51,scan singer
52,scan continents
53,join continents.contid-continents.contid
54,join model_list.model-car_names.model join car_names.makeid-cars_data.id join model_list.maker-car_makers.id scan cars_data.weight
55,join model_list.model-car_names.model join car_names.makeid-cars_data.id join model_list.maker-car_makers.id scan model_list.model
56,scan car_names
57,scan country
58,scan country
59,scan country
60,scan country
61,scan country
62,scan airlines
63,scan airlines
64,scan airlines
65,scan singer
66,scan singer
67,scan song
68,scan airlines
69,scan flights
70,scan t1 scan t2
71,scan courses
72,scan t1 scan t2
73,scan concert
74,join concert.stadium_id-stadium.name
75,scan stadium
76,scan concert
77,scan treatments order by cost_of_treatment desc limit 1
78,scan treatments order by date_of_treatment desc limit 1
79,scan t1 scan t2
80,scan t1 scan t2
81,scan people group by nationality having count ( * )   >  1
82,scan people
83,scan people
84,scan matches
85,scan matches
86,scan matches
87,scan matches
88,scan matches
89,join flights.destairport-airports.airportcode scan airports.city
90,scan airports
91,scan museum
92,scan cartoon
93,scan cartoon
94,scan cartoon
95,scan documents
96,scan documents
97,scan documents
98,scan matches
99,scan matches
100,scan matches
101,scan matches
102,scan dogs
103,scan dogs
104,scan dogs
105,join dogs.dog_id-treatments.dog_id scan dogs.breed_code
106,join student.stuid-has_pet.stuid join pets.petid-has_pet.petid scan pets.pettype
107,join visitor.id-visit.visitor_id join museum.museum_id-visit.museum_id scan museum.name
108,scan visitor
109,scan visitor
110,join airlines.uid-flights.airline scan airlines.airline
111,join airlines.uid-flights.airline scan airlines.airline
112,scan flights
113,scan flights
114,scan players
115,scan players
116,join flights.destairport-airports.airportcode join airlines.uid-flights.airline scan airports.city scan airlines.airline
117,join course_arrange.course_id-course.course_id join course_arrange.teacher_id-teacher.teacher_id scan course.course
118,join course_arrange.course_id-course.course_id scan course.course
119,join course_arrange.course_id-course.course_id scan course.course
120,scan t1 scan t2
121,scan t1 scan t2
122,scan t1 scan t2
123,scan poker_player
124,join people.people_id-poker_player.people_id scan people.height
125,join people.people_id-poker_player.people_id scan people.height
126,join student.stuid-has_pet.stuid join pets.petid-has_pet.petid scan pets.pettype
127,join student.stuid-has_pet.stuid join pets.petid-has_pet.petid scan pets.pettype
128,scan country
129,scan city
130,scan city
131,scan tv_channel
132,scan tv_channel
133,scan tv_channel order by series_name asc
134,scan dogs
135,scan dogs
136,scan dogs
137,join car_names.makeid-cars_data.id scan car_names.makeid
138,join car_names.makeid-cars_data.id scan car_names.model
139,join car_names.makeid-cars_data.id scan car_names.model
140,join car_names.makeid-cars_data.id scan cars_data.cylinders
141,scan cars_data
142,scan cars_data
143,scan shop
144,join hiring.shop_id-hiring.shop_id
145,scan t1 scan t2
146,scan singer
147,join singer.singer_id-song.singer_id scan song.sales
148,join singer.singer_id-song.singer_id scan song.sales
149,scan contestants
150,scan contestants
151,scan contestants
152,scan contestants
153,scan airports
154,scan flights
155,scan airports
156,scan breeds
157,scan t1 scan t2
158,join breeds.breed_code-dogs.breed_code scan breeds.breed_name
159,scan t1 scan t2
160,scan conductor order by year_of_work desc limit 1
161,scan conductor
162,scan conductor order by year_of_work asc limit 1
163,scan people
164,scan people
165,scan people
166,scan people
167,scan t1 scan t2
168,scan t1 scan t2
169,scan cars_data order by horsepower desc limit 1
170,scan cars_data order by horsepower desc limit 1
171,scan cars_data
172,scan concert
173,scan concert
174,scan concert
175,scan matches
176,scan matches group by tourney_name having count ( * )   >  10
177,scan matches group by tourney_name having count ( * )   >  10
178,scan students
179,scan students
180,scan students order by date_left asc limit 1
181,scan flights
182,scan airports
183,scan airports
184,scan transcripts order by transcript_date asc limit 1
185,scan matches order by winner_age limit 3
186,scan matches order by winner_age limit 3
187,scan friend
188,scan highschooler
189,scan highschooler
190,scan poker_player
191,join people.people_id-poker_player.people_id scan poker_player.earnings
192,join people.people_id-poker_player.people_id scan poker_player.earnings
193,scan museum
194,scan museum
195,scan museum order by num_of_staff desc limit 1
196,scan students
197,scan students
198,scan students
199,scan student
200,scan student
201,join student.stuid-has_pet.stuid scan student.lname
